시도본부,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
서울,1057,806,923,845,892,792,828,828,856,910,954,1036
부산,610,509,524,467,456,380,433,408,381,480,536,552
대구,258,221,252,227,237,206,214,207,226,234,254,259
인천,327,254,278,252,294,241,273,298,279,319,294,354
광주,119,109,107,105,114,100,105,113,110,109,124,141
대전,143,128,131,136,144,106,113,122,118,129,138,151
울산,91,122,92,95,95,86,92,92,112,109,100,106
세종,20,14,14,17,19,18,11,15,26,24,22,22
경기,1361,1199,1274,1242,1302,1181,1247,1178,1155,1246,1345,1363
강원,271,246,241,229,230,212,224,257,244,254,260,284
충북,211,207,203,214,227,217,206,195,197,197,198,218
충남,279,276,286,261,275,251,220,268,261,311,280,274
전북,235,160,225,201,218,204,187,225,203,248,223,232
전남,291,239,279,232,240,249,228,258,224,254,244,283
경북,368,314,388,350,334,315,318,367,309,361,357,428
경남,271,244,257,258,259,232,266,255,303,294,281,316
제주,115,98,84,82,86,78,86,80,95,98,95,103
창원,93,77,96,81,87,81,75,84,67,91,106,93
