,개방장소명,개방장소,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
중화1동주민센터 생활체육실,중화1동주민센터,중화,다목적실,토+일,9:00,21:00,0:00,0:00,Y,2,10000,1,5000,30,80,,인터넷,,서울특별시 중랑구 동일로134길 17,서울특별시 중랑구 중화동 287-3,서울특별시 중랑구 중화1동주민센터,,02-2094-6334,37.601132,127.080648,2022-09-30
중화1동주민센터 대회의실,중화1동주민센터,중화,회의실,토+일,9:00,21:00,0:00,0:00,Y,2,10000,1,5000,15,38,,인터넷,,서울특별시 중랑구 동일로134길 17,서울특별시 중랑구 중화동 287-3,서울특별시 중랑구 중화2동주민센터,,02-2094-6334,37.601132,127.080648,2022-09-30
신내2동주민센터 대회의실,신내2동주민센터,신내,회의실,일(시설 사정에 따라 변경가능),9:00,21:00,10:00,18:00,Y,2,10000,1,5000,40,,,인터넷,,서울특별시 중랑구 봉화산로 190,서울특별시 중랑구 신내동 665,서울특별시 중랑구 신내2동주민센터,,02-2094-6628,37.606228,127.094147,2022-09-30
신내2동주민센터 북카페 회의실,신내2동주민센터,신내,회의실,일(시설 사정에 따라 변경가능),10:00,18:00,10:00,14:00,Y,2,10000,1,5000,15,,,인터넷,,서울특별시 중랑구 봉화산로 190,서울특별시 중랑구 신내동 665,서울특별시 중랑구 신내2동주민센터,,02-2094-6628,37.606228,127.094147,2022-09-30
신내1동주민센터 강당,신내1동주민센터,신내,강당,토+일(시설 사정에 따라 변경가능),9:00,21:00,0:00,0:00,Y,3,10000,1,5000,50,180,,인터넷,,서울특별시 중랑구 용마산로129나길 35,서울특별시 중랑구 신내동 448-1,서울특별시 중랑구 신내1동주민센터,,02-2094-6573,37.605854,127.0995038,2022-09-30
신내1동주민센터 회의실,신내1동주민센터,신내,회의실,토+일,9:00,21:00,0:00,0:00,Y,3,10000,1,5000,20,65,,인터넷,,서울특별시 중랑구 용마산로129나길 35,서울특별시 중랑구 신내동 448-1,서울특별시 중랑구 신내1동주민센터,,02-2094-6573,37.605854,127.0995038,2022-09-30
상봉2동주민센터 대강당,상봉2동주민센터,상봉,기타,토+일,9:00,21:00,0:00,0:00,Y,2,10000,1,5000,50,107,,인터넷,,서울특별시 중랑구 동일로114길 10,서울특별시 중랑구 상봉동 126,서울특별시 중랑구 상봉2동주민센터,,02-2094-6294,37.59289195,127.0808518,2022-09-30
상봉2동주민센터 강의실,상봉2동주민센터,상봉,강의실,토+일,9:00,21:00,0:00,0:00,Y,2,10000,1,5000,30,57,,인터넷,,서울특별시 중랑구 동일로114길 10,서울특별시 중랑구 상봉동 126,서울특별시 중랑구 상봉2동주민센터,,02-2094-6294,37.59289195,127.0808518,2022-09-30
상봉2동주민센터 다목적실,상봉2동주민센터,상봉,다목적실,토+일,9:00,21:00,0:00,0:00,Y,2,10000,1,5000,30,81,,인터넷,,서울특별시 중랑구 동일로114길 10,서울특별시 중랑구 상봉동 126,서울특별시 중랑구 상봉2동주민센터,,02-2094-6294,37.59289195,127.0808518,2022-09-30
상봉1동주민센터 자치회관 회의실,상봉1동주민센터,상봉,회의실,토+일,12:00,16:00,0:00,0:00,Y,2,10000,1,5000,18,23,,인터넷,,서울특별시 중랑구 상봉중앙로1길 6,서울특별시 중랑구 상봉동 204-1,서울특별시 중랑구 상봉1동주민센터,,02-2094-6259,37.599811,127.0871498,2022-09-30
